# Intermediate CAs in the cabinet that this store does not carry, with the reason.
# Written by certval-store-gen; a change here is a change in what the publisher ships,
# not in this crate.
#
# unrooted     the cabinet includes the CA but not its issuer, so nothing roots it
# unvalidated  a path to a root exists and none validated as of the publication date;
#              an InvalidNotAfterDate here is a CA the publisher shipped already lapsed
unvalidated  Microsoft_EUS-IFX-KEYID-6DED70AB841AE9C22A03647FC8D1482188D3DAE3_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-73ABB81A0225456337F02B25BD39E658B90F00FF_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-8E1F3B1E129D4ADED7631F5B4A2B75828AF28128_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-9532153BAA9D74482D275B1A3E475309D3CFE507_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-97E5D1CD8B0497C04B4655A869C8F30EFA89388D  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-97E5D1CD8B0497C04B4655A869C8F30EFA89388D_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-9A643BC48007E0824798430036B658419B70C077_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-A4384BEE3966533539CD0A736D1DD2C213538DBE_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-A4D18726364EA2E3B278464CDC7FAD968E015D4B_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-B02981157B6D7CC3210016380B898950524350E6_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-B080359B59AA938800A4AEBFD10CC70CF01B1B37_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-B2D3CC08144C50808C289D119627479BFFC0E4A3_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-BD6C69C0759EAA95DD6D156EA64170C4B9B36C78_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-C0044E3B23F43B2854BB76AD4FDD79BC62986C55_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-C7EE1D9CF6A291A06E4F5B88CEB25CAEE12F827B_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-C88C75FB06270BF7EA1244FB9C25DFD209B7ABCD_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-DA206EF5DA6CF79CAE93C5E472FFE9480172CC8E_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-DF5D6DAB5102DF18A1F77113F4983C62CBAF7385_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-EFFEEC5E01610082C0E311CBD07A3204408B32B8_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-F53E4F475E0D3C6E2B3E56E3AE8ABB953122617F_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-F65C289B3D93B78F978AC8D017B7947DA93637A5_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KeyId-2583CADE368F69C80F58D34A48B2DE653DFEAF98_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KeyId-32C6E576663FEE80D64CDD7B18E5603863B3BC8A_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KeyId-4A769EB5D93C833A5500F1F281324EEF03FBEB3D_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KeyId-65957CAE12EF1B1A875D951A9425B1BC1D2B3BD3_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KeyId-7026D09ED935DCDC44D84D7DA75CCF0ABC1FDE0A_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KeyId-76FA7DF0C07733DC8CE24E8EFF196D27788668DA_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KeyId-78A409C457DE6926F6DF42C6114EB7E56A9B56E7_2  Some(PathValidation(InvalidNotAfterDate))
